"inspection_id,weight,critical_yn"
395,1,0
398,1,0
434,1,0
794,1,0
799,2,0
799,1,0
808,1,0
810,1,0
810,2,0
812,1,0
817,1,0
822,2,0
825,2,0
1224,2,0
1644,1,0
1807,1,0
1807,1,0
2063,2,0
2100,1,0
2167,1,0
2167,5,1
2977,1,0
2977,1,0
3715,2,0
3723,1,0
3739,1,0
3739,1,0
3742,2,0
2981,1,0
2984,2,0
2984,1,0
2991,2,0
2994,1,0
3015,1,0
3280,4,0
3280,2,0
4069,1,0
4081,1,0
4083,2,0
4098,1,0
4111,1,0
4123,1,0
2517,1,0
2519,1,0
3323,2,0
3325,1,0
3326,1,0
3326,1,0
3327,1,0
3338,2,0
3342,5,1
3343,1,0
4182,2,0
2522,2,0
2523,1,0
2528,1,0
2544,1,0
2565,2,0
2581,1,0
3348,1,0
2619,1,0
2619,1,0
3411,1,0
3682,3,1
3684,2,0
3704,2,0
3704,1,0
3712,1,0
53,1,0
58,1,0
61,1,0
85,1,0
93,1,0
868,2,0
872,2,0
1225,1,0
1238,1,0
1244,1,0
1246,2,0
924,1,0
1365,2,0
372,3,1
387,2,0
4914,5,1
6571,1,0
6576,1,0
6684,1,0
6703,1,0
7013,1,0
7128,1,0
7285,1,0
7289,1,0
7309,1,0
7319,2,0
8925,1,0
8931,1,0
8932,1,0
8976,2,0
9033,2,0
8377,1,0
8394,4,1
7667,1,0
7683,1,0
7689,1,0
8419,2,0
9283,2,0
9283,5,1
9287,1,0
9287,1,0
9289,1,0
7916,1,0
7936,1,0
7936,1,0
7948,2,0
7951,1,0
7953,1,0
9422,2,0
9422,1,0
8860,1,0
8879,1,0
8879,1,0
8059,5,1
8060,1,0
4528,3,1
4548,2,0
4552,1,0
4553,2,0
4554,2,0
5562,1,0
5589,1,0
5589,1,0
5594,2,0
5606,2,0
6115,4,1
4558,1,0
4565,1,0
4592,1,0
4592,1,0
4592,1,0
4638,1,0
5220,1,0
5227,1,0
5227,1,0
5246,1,0
5247,1,0
6310,1,0
5890,2,0
6319,1,0
5932,1,0
5938,2,0
5963,1,0
5967,1,0
5971,1,0
4887,1,0
4893,2,0
4895,1,0
4905,1,0
16055,5,1
16083,2,0
17007,1,0
17015,1,0
17015,1,0
17019,1,0
17022,1,0
17092,1,0
17099,1,0
17308,2,0
17308,1,0
17383,2,0
17385,1,0
17386,1,0
17459,2,0
17514,3,1
17718,1,0
17718,1,0
17722,1,0
17783,2,0
17975,3,1
17985,1,0
17985,1,0
19664,1,0
19664,1,0
18042,1,0
18047,1,0
18900,5,1
18917,3,1
18143,5,1
18966,1,0
19137,6,1
19986,2,0
19986,2,0
19998,5,1
20039,2,0
20039,2,0
20040,1,0
20077,1,0
20079,1,0
20085,1,0
20099,1,0
