EstablishmentID,InspectionID,EstablishmentName,PlaceName,Address,Address2,City,State,Zip,TypeDescription,Latitude,Longitude,InspectionDate,Score,Grade,NameSearch,Intersection
27867,1203066,FUNNEL CAKE #5, ,STATEWIDE MOBILE,,LOUISVILLE,KY,40206,SELF-CONTAINED MOBILE FOOD UNITS,38.2526647,-85.7584557,2016-05-27 00:00:00,100,A,FUNNELCAKE,
27867,1220840,FUNNEL CAKE #5, ,STATEWIDE MOBILE,,LOUISVILLE,KY,40206,SELF-CONTAINED MOBILE FOOD UNITS,38.2526647,-85.7584557,2016-07-22 00:00:00,100,A,FUNNELCAKE,
27867,1241901,FUNNEL CAKE #5, ,STATEWIDE MOBILE,,LOUISVILLE,KY,40206,SELF-CONTAINED MOBILE FOOD UNITS,38.2526647,-85.7584557,2016-08-18 00:00:00,100,,FUNNELCAKE,
27867,1241902,FUNNEL CAKE #5, ,STATEWIDE MOBILE,,LOUISVILLE,KY,40206,SELF-CONTAINED MOBILE FOOD UNITS,38.2526647,-85.7584557,2016-08-19 00:00:00,100,,FUNNELCAKE,
27867,1241903,FUNNEL CAKE #5, ,STATEWIDE MOBILE,,LOUISVILLE,KY,40206,SELF-CONTAINED MOBILE FOOD UNITS,38.2526647,-85.7584557,2016-08-20 00:00:00,100,,FUNNELCAKE,
27867,1241904,FUNNEL CAKE #5, ,STATEWIDE MOBILE,,LOUISVILLE,KY,40206,SELF-CONTAINED MOBILE FOOD UNITS,38.2526647,-85.7584557,2016-08-21 00:00:00,100,,FUNNELCAKE,
27867,1241905,FUNNEL CAKE #5, ,STATEWIDE MOBILE,,LOUISVILLE,KY,40206,SELF-CONTAINED MOBILE FOOD UNITS,38.2526647,-85.7584557,2016-08-22 00:00:00,100,,FUNNELCAKE,
27867,1241906,FUNNEL CAKE #5, ,STATEWIDE MOBILE,,LOUISVILLE,KY,40206,SELF-CONTAINED MOBILE FOOD UNITS,38.2526647,-85.7584557,2016-08-23 00:00:00,100,,FUNNELCAKE,
27867,1241907,FUNNEL CAKE #5, ,STATEWIDE MOBILE,,LOUISVILLE,KY,40206,SELF-CONTAINED MOBILE FOOD UNITS,38.2526647,-85.7584557,2016-08-24 00:00:00,98,,FUNNELCAKE,
27867,1241908,FUNNEL CAKE #5, ,STATEWIDE MOBILE,,LOUISVILLE,KY,40206,SELF-CONTAINED MOBILE FOOD UNITS,38.2526647,-85.7584557,2016-08-25 00:00:00,98,,FUNNELCAKE,
