EstablishmentID,InspectionID,Zip,TypeDescription,Latitude,Longitude,Inspection,Score
27867,1203066,40206,SELF-CONTAINED MOBILE FOOD UNITS,38.2526647,-85.7584557,2016-05-27,100
27867,1220840,40206,SELF-CONTAINED MOBILE FOOD UNITS,38.2526647,-85.7584557,2016-07-22,100
27867,1241901,40206,SELF-CONTAINED MOBILE FOOD UNITS,38.2526647,-85.7584557,2016-08-18,100
27867,1241902,40206,SELF-CONTAINED MOBILE FOOD UNITS,38.2526647,-85.7584557,2016-08-19,100
27867,1241903,40206,SELF-CONTAINED MOBILE FOOD UNITS,38.2526647,-85.7584557,2016-08-20,100
27867,1241904,40206,SELF-CONTAINED MOBILE FOOD UNITS,38.2526647,-85.7584557,2016-08-21,100
27867,1241905,40206,SELF-CONTAINED MOBILE FOOD UNITS,38.2526647,-85.7584557,2016-08-22,100
27867,1241906,40206,SELF-CONTAINED MOBILE FOOD UNITS,38.2526647,-85.7584557,2016-08-23,100
27867,1241907,40206,SELF-CONTAINED MOBILE FOOD UNITS,38.2526647,-85.7584557,2016-08-24,98
27867,1241908,40206,SELF-CONTAINED MOBILE FOOD UNITS,38.2526647,-85.7584557,2016-08-25,98
27867,1241909,40206,SELF-CONTAINED MOBILE FOOD UNITS,38.2526647,-85.7584557,2016-08-26,100
27867,1241910,40206,SELF-CONTAINED MOBILE FOOD UNITS,38.2526647,-85.7584557,2016-08-27,100
28520,1220805,40206,SELF-CONTAINED MOBILE FOOD UNITS,38.2526647,-85.7584557,2016-06-29,98
28520,1220841,40206,SELF-CONTAINED MOBILE FOOD UNITS,38.2526647,-85.7584557,2016-07-22,100
28521,1220803,40206,SELF-CONTAINED MOBILE FOOD UNITS,38.2526647,-85.7584557,2016-06-29,98
28522,1221818,40206,SELF-CONTAINED MOBILE FOOD UNITS,38.2526647,-85.7584557,2016-08-18,100
28523,1221817,40206,SELF-CONTAINED MOBILE FOOD UNITS,38.2526647,-85.7584557,2016-08-18,96
29773,1237799,40212,SUPERMARKET WITH PROCESSING,38.2606000,-85.8136000,2016-10-25,95
29790,1205055,40218,FOOD SERVICE,38.1975000,-85.6565000,2016-06-23,94
29790,1248041,40218,FOOD SERVICE,38.1975000,-85.6565000,2016-12-02,87
29790,1249692,40218,FOOD SERVICE,38.1975000,-85.6565000,2016-12-08,96
29862,1262142,40217,PRE-PACKAGED RETAIL,38.2277000,-85.7364000,2017-01-31,99
29918,1247674,40229,PRE-PACKAGED RETAIL,38.1142000,-85.6908000,2016-12-01,89
29920,1250844,40229,PRE-PACKAGED RETAIL,38.0967000,-85.6959000,2016-12-13,76
29920,1252477,40229,PRE-PACKAGED RETAIL,38.0967000,-85.6959000,2016-12-19,83
29920,1254925,40229,PRE-PACKAGED RETAIL,38.0967000,-85.6959000,2016-12-30,83
29920,1256449,40229,PRE-PACKAGED RETAIL,38.0967000,-85.6959000,2017-01-09,93
29928,1219772,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.2498000,-85.8208000,2016-08-15,93
29928,1219773,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.2498000,-85.8208000,2016-08-15,93
29928,1258376,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.2498000,-85.8208000,2017-01-17,97
29928,1258377,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.2498000,-85.8208000,2017-01-17,97
29956,1243273,40207,PRE-PACKAGED RETAIL,38.2525000,-85.6600000,2016-11-09,100
29967,1176680,40203,SUPERMARKET WITH PROCESSING,38.2416000,-85.7443000,2016-03-03,97
29967,1260373,40203,SUPERMARKET WITH PROCESSING,38.2416000,-85.7443000,2017-01-24,85
29967,1261802,40203,SUPERMARKET WITH PROCESSING,38.2416000,-85.7443000,2017-01-30,98
29979,1218472,40217,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.2227000,-85.7519000,2016-08-11,94
29979,1218473,40217,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.2227000,-85.7519000,2016-08-11,95
29979,1258368,40217,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.2227000,-85.7519000,2017-01-17,97
29979,1258369,40217,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.2227000,-85.7519000,2017-01-17,93
29998,1189528,40212,SUPERMARKET WITH PROCESSING,38.2595000,-85.7909000,2016-04-29,97
