"INCIDENT_NUMBER","DATE_REPORTED","DATE_OCCURED","UOR_DESC","CRIME_TYPE","NIBRS_CODE","UCR_HIERARCHY","ATT_COMP","LMPD_DIVISION","LMPD_BEAT","PREMISE_TYPE","BLOCK_ADDRESS","CITY","ZIP_CODE","ID"
"80-17-008400","2017-01-29 00:54:00","2017-01-29 00:54:00","ASSAULT - 1ST DEGREE","ASSAULT","13A","PART I","COMPLETED","3RD DIVISION","322","PARKING LOT / GARAGE","7800 BLOCK 3RD STREET RD                                    ","LOUISVILLE","40214","1189447"
"80-17-001552","2017-01-06 06:28:01","2017-01-02 22:00:00","CARRYING A CONCEALED DEADLY WEAPON","WEAPONS","520","PART II","COMPLETED","3RD DIVISION","316","RESIDENCE / HOME","6100 BLOCK DALIA CT                                         ","LOUISVILLE","40272","1189448"
"80-17-008712","2017-01-31 05:26:08","2017-01-29 09:30:00","TBUT OR DISP AUTO > $500 BUT < $10,000","MOTOR VEHICLE THEFT","240","PART I","COMPLETED","6TH DIVISION","612","PARKING LOT / GARAGE","5300 BLOCK PRESTON HWY                                      ","LOUISVILLE","40213","1189450"
"80-17-008722","2017-01-30 15:16:00","2017-01-30 14:00:00","TBUT OR DISP SHOPLIFTING < $500","THEFT/LARCENY","23C","PART I","COMPLETED","6TH DIVISION","625","GROCERY / SUPERMARKET","3000 BLOCK BRECKENRIDGE LN                                  ","LOUISVILLE","40220","1189451"
"80-17-006791","2017-01-23 16:43:00","2017-01-23 16:43:00","REPORT NUMBER NOT REQUIRED","OTHER","999","","COMPLETED","3RD DIVISION","331","OTHER / UNKNOWN","7200 BLOCK DIXIE HWY                                        ","LOUISVILLE","40258","1189452"
"80-17-007828","2017-01-26 22:41:00","2017-01-26 22:41:00","DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT","OTHER","90Z","PART II","COMPLETED","3RD DIVISION","323","OTHER RESIDENCE (APARTMENT/CONDO)","7300 BLOCK GARRISON RD                                      ","LOUISVILLE","40214","1189453"
"80-17-008733","2017-01-31 08:02:44","2017-01-25 09:30:00","THEFT BY DECEPTION-INCL COLD CHECKS U/$10,000","THEFT/LARCENY","23H","PART I","COMPLETED","METRO LOUISVILLE","METRO","RESIDENCE / HOME","COMMUNITY AT LARGE","LOUISVILLE","","1189454"
"80-17-008729","2017-01-30 15:26:00","2017-01-30 06:00:00","TBUT OR DISP PARTS FROM VEHICLE < $500","VEHICLE BREAK-IN/THEFT","23G","PART I","COMPLETED","7TH DIVISION","736","RESIDENCE / HOME","9400 BLOCK BLUE LICK RD                                     ","LOUISVILLE","40229","1189455"
"80-17-008743","2017-01-31 09:02:02","2017-01-31 06:31:02","THEFT BY DECEPTION-INCL COLD CHECKS U/$10,000","THEFT/LARCENY","23H","PART I","COMPLETED","1ST DIVISION","111","COMMERCIAL / OFFICE BUILDING","1800 BLOCK W MARKET ST                                      ","LOUISVILLE","40203","1189456"
"80-17-008755","2017-01-31 09:58:40","2016-07-20 10:00:00","TBUT OR DISP AUTO > $500 BUT < $10,000","MOTOR VEHICLE THEFT","240","PART I","COMPLETED","3RD DIVISION","323","OTHER / UNKNOWN","8100 BLOCK NATIONAL TPKE                                    ","LOUISVILLE","40214","1189457"
"80-17-008736","2017-01-30 16:00:00","2017-01-30 15:37:00","TBUT OR DISP SHOPLIFTING < $500","THEFT/LARCENY","23C","PART I","COMPLETED","3RD DIVISION","322","CONVENIENCE STORE","7100 BLOCK SOUTHSIDE DR                                     ","LOUISVILLE","40214","1189458"
"80-17-008741","2017-01-30 16:10:00","2017-01-30 15:51:00","LEAVING SCENE OF ACCIDENT/FAILURE TO RENDER AID OR ASSISTANC","OTHER","999","","COMPLETED","3RD DIVISION","331","PARKING LOT / GARAGE","5100 BLOCK DIXIE HWY                                        ","LOUISVILLE","40216","1189459"
"80-17-008820","2017-01-30 20:53:00","2017-01-30 20:40:00","TBUT OR DISP SHOPLIFTING < $500","THEFT/LARCENY","23C","PART I","COMPLETED","1ST DIVISION","112","GROCERY / SUPERMARKET","2700 BLOCK W BROADWAY                                       ","LOUISVILLE","40211","1189460"
"80-17-008832","2017-01-31 19:18:03","2017-01-29 09:39:03","TBUT OR DISP PARTS FROM VEHICLE $500 OR > BUT < $10,000","VEHICLE BREAK-IN/THEFT","23G","PART I","COMPLETED","3RD DIVISION","315","RESIDENCE / HOME","5900 BLOCK HALMA DR                                         ","LOUISVILLE","40272","1189461"
"80-17-008832","2017-01-31 19:18:03","2017-01-29 09:39:03","TBUT OR DISP CONTENTS FROM VEH $500 OR > BUT < $10,000","VEHICLE BREAK-IN/THEFT","23F","PART I","COMPLETED","3RD DIVISION","315","RESIDENCE / HOME","5900 BLOCK HALMA DR                                         ","LOUISVILLE","40272","1189462"
"80-17-008847","2017-01-31 22:38:17","2017-01-16 23:20:17","THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT","FRAUD","26C","PART II","COMPLETED","2ND DIVISION","223","OTHER / UNKNOWN","2300 BLOCK GARLAND AVE                                      ","LOUISVILLE","40211","1189463"
"80-17-008763","2017-01-30 15:22:00","2017-01-30 14:00:00","RAPE - 1ST DEGREE","SEX CRIMES","11A","PART I","COMPLETED","4TH DIVISION","423","OTHER RESIDENCE (APARTMENT/CONDO)","3700 BLOCK W WHEATMORE DR                                   ","LOUISVILLE","40215","1189464"
"80-17-008763","2017-01-30 15:22:00","2017-01-30 14:00:00","ROBBERY - 1ST DEGREE","ROBBERY","120","PART I","COMPLETED","4TH DIVISION","423","OTHER RESIDENCE (APARTMENT/CONDO)","3700 BLOCK W WHEATMORE DR                                   ","LOUISVILLE","40215","1189465"
"80-17-008763","2017-01-30 15:22:00","2017-01-30 14:00:00","BURGLARY - 1ST DEGREE","BURGLARY","220","PART I","COMPLETED","4TH DIVISION","423","OTHER RESIDENCE (APARTMENT/CONDO)","3700 BLOCK W WHEATMORE DR                                   ","LOUISVILLE","40215","1189466"
"80-17-008812","2017-01-30 20:07:00","2017-01-30 17:40:00","TBUT OR DISP SHOPLIFTING < $500","THEFT/LARCENY","23C","PART I","COMPLETED","3RD DIVISION","316","DEPARTMENT / DISCOUNT STORE","13700 BLOCK DIXIE HWY                                       ","LOUISVILLE","40272","1189467"
"80-17-008865","2017-01-31 00:10:00","2017-01-30 22:30:00","ROBBERY - 1ST DEGREE","ROBBERY","120","PART I","COMPLETED","4TH DIVISION","412","RESIDENCE / HOME","1100 BLOCK ST MICHAEL ST                                    ","LOUISVILLE","40204","1189468"
"80-17-008744","2017-01-30 15:56:00","2017-01-30 15:56:00","MURDER","HOMICIDE","09A","PART I","COMPLETED","2ND DIVISION","223","RESIDENCE / HOME","1500 BLOCK WILSON AVE                                       ","LOUISVILLE","40210","1189469"
"80-17-006090","2017-01-20 18:35:00","2017-01-20 18:35:00","POSS CONT SUB-1ST DEGREE-1ST OFFENSE-COCAINE","DRUGS/ALCOHOL VIOLATIONS","35A","PART II","COMPLETED","2ND DIVISION","223","HIGHWAY / ROAD / ALLEY","S 32ND ST / SOUTHERN AVE                                    ","LOUISVILLE","40211","1189470"
"80-17-008841","2017-01-30 22:56:00","2017-01-30 22:17:00","CRIMINAL MISCHIEF-2ND DEGREE","VANDALISM","290","PART II","COMPLETED","6TH DIVISION","625","RESIDENCE / HOME","2800 BLOCK RIO RITA AVE                                     ","LOUISVILLE","40220","1189525"
"80-17-008837","2017-01-30 21:44:00","2017-01-30 20:30:00","CRIMINAL MISCHIEF-2ND DEGREE","VANDALISM","290","PART II","COMPLETED","4TH DIVISION","412","RESIDENCE / HOME","2300 BLOCK BRADLEY AVE                                      ","LOUISVILLE","40217","1189526"
"80-17-008877","2017-01-31 04:18:00","2017-01-30 19:00:00","DEATH INVESTIGATION","OTHER","90Z","PART II","COMPLETED","7TH DIVISION","723","RESIDENCE / HOME","7800 BLOCK WATERING PL                                      ","LOUISVILLE","40291","1189527"
"80-17-007562","2017-01-26 03:59:00","2017-01-26 03:59:00","PRELIMINARY REPORT NUMBER","OTHER","999","","COMPLETED","6TH DIVISION","612","RESIDENCE / HOME","1200 BLOCK KREMER AVE                                       ","LOUISVILLE","40213","1189528"
"80-17-008677","2017-01-30 11:47:00","2017-01-30 11:45:00","PRELIMINARY REPORT NUMBER","OTHER","999","","COMPLETED","3RD DIVISION","322","HIGHWAY / ROAD / ALLEY","PALATKA RD / STONE HILL RD                                  ","LOUISVILLE","40214","1189529"
"80-17-008885","2017-01-31 07:13:00","2017-01-30 18:00:00","CRIMINAL MISCHIEF-3RD DEGREE","VANDALISM","290","PART II","COMPLETED","4TH DIVISION","411","HIGHWAY / ROAD / ALLEY","1300 BLOCK S 1ST ST                                         ","LOUISVILLE","40208","1189530"
"80-17-005494","2017-01-18 22:10:00","2017-01-18 22:10:00","POSS OF MARIJUANA","DRUGS/ALCOHOL VIOLATIONS","35A","PART II","COMPLETED","2ND DIVISION","225","HIGHWAY / ROAD / ALLEY","S 13TH ST / W HILL ST                                       ","LOUISVILLE","40210","1189531"
