business_id,name,address,city,state,postal_code,latitude,longitude,phone_number
87593,"SICILIAN PIZZA AND PASTA",627 S. 4TH STREET,LOUISVILLE,KY,40202,38.2481000000,-85.7980000000,(502) 457-3206
87607,"DOC CROWS SMOKEHOUSE",127 W. MAIN STREET,LOUISVILLE,KY,40202,38.2563000000,-85.7532000000,(502) 974-3482
87609,"LOGANS ROADHOUSE",1540 ALLIANT AVENUE,LOUISVILLE,KY,40299,38.2214000000,-85.5356000000,(502) 266-6009
32112,"CHEDDAR BOX",3909 CHENOWETH SQUARE,LOUISVILLE,KY,40207,38.2548871000,-85.6542761000,(502) 897-2334
32114,"CORNER CAFE AND PIZZERIA",9307 NEW LAGRANGE ROAD,LOUISVILLE,KY,40242,38.2684657000,-85.5804428000,(502) 426-8119
31334,"GOOD SAMARITAN",3500 GOOD SAMARITAN WAY,LOUISVILLE,KY,40299,38.1964285000,-85.5624782000,(502) 267-7403
32910,"BLUE HORSE",830 PHILLIPS LN,LOUISVILLE,KY,40209,38.1921182000,-85.7407115000,(502) 367-2251
32917,"PORK PRODUCERS - STAND #20  FREEDOM HALL",937 PHILLIPS LANE,LOUISVILLE,KY,40209,38.1950523000,-85.7383241000,(270) 737-5665
32905,"EXECUTIVE STRIKE AND SPARE",911 PHILLIPS LN,LOUISVILLE,KY,40209,38.1923888000,-85.7414482000,(502) 367-2251
32724,"MOOSE LODGE #5",4615 FEGENBURSH LANE,LOUISVILLE,KY,40228,38.1820070000,-85.6371560000,(502) 499-8875
32727,"RUTHS CHRIS STEAK HOUSE",6100 DUTCHMANS LANE,LOUISVILLE,KY,40205,38.2283326000,-85.6393450000,(502) 479-0026
32649,"W.W. COUSINS",900 DUPONT SQ,LOUISVILLE,KY,40207,38.2348882000,-85.6399461000,(502) 897-9684
32659,"BIG SPRING MAIN KITCHEN",5901 DUTCHMANS LANE,LOUISVILLE,KY,40205,38.2312060000,-85.6502760000,(502) 459-2622
32660,"JEWISH COMMUNITY CNTR KITCHEN",3600 DUTCHMANS LN,LOUISVILLE,KY,40205,38.2251280000,-85.6496200000,(502) 458-3281
32733,"WHITE CASTLE #10",793 EASTERN PARKWAY,LOUISVILLE,KY,40217,38.2148049000,-85.7427415000,(502) 634-3322
32765,"WOMANS CLUB OF LOUISVILLE",1320 S. 4TH STREET,LOUISVILLE,KY,40208,38.2321130000,-85.7612820000,(502) 634-9437
32773,"WHIRLAWAY",2532 S. 4TH STREET,LOUISVILLE,KY,40208,38.2118000000,-85.7647000000,(502) 384-7999
32358,"ARBYS #5430",10704 DIXIE HWY,LOUISVILLE,KY,40272,38.0981914000,-85.8725224000,(502) 935-1329
32384,"STRATHMOOR EDUCATION CENTER",2201 HAWTHORNE AVE,LOUISVILLE,KY,40205,38.2169930000,-85.6763196000,(502) 458-6585
32531,"BOYS HAVEN #1",2301 GOLDSMITH LANE,LOUISVILLE,KY,40218,38.2101954000,-85.6657655000,(502) 458-1471
32802,"KFC Y052-016",5012 S. 3RD STREET,LOUISVILLE,KY,40214,38.1740522000,-85.7677809000,(502) 366-2673
32804,"ARBYS #194",5022 S 3RD ST,LOUISVILLE,KY,40214,38.1736147000,-85.7678725000,(502) 366-8435
32815,"HITCHING POST INN",7314 FEGENBUSH LANE,LOUISVILLE,KY,40228,38.1430773000,-85.6241682000,(502) 239-4724
32339,"TACO BELL #3677",6800 BARDSTOWN RD,LOUISVILLE,KY,40291,38.1472388000,-85.5863452000,(502) 239-2131
32140,"ARBYS #5412",6216 BARDSTOWN ROAD,LOUISVILLE,KY,40291,38.1556665000,-85.5902843000,(502) 239-3203
32534,"KRAZY DAVES NEIGHBORHOOD PUB AND GRILL",2817 DEL RIO PLACE,LOUISVILLE,KY,40220,38.1209000000,-85.3930000000,(502) 403-6101
32535,"DES PRES PARK CONCESSION STAND",4709 LOWE ROAD,LOUISVILLE,KY,40222,38.2195209000,-85.6070108000,(502) 643-6038
32536,"BOURBON STREET CAFE",850 DIXIE HWY,LOUISVILLE,KY,40210,38.2449542000,-85.7837237000,(502) 774-7156
32537,"KINGS FRIED CHICKEN",1302 DIXIE HWY,LOUISVILLE,KY,40210,38.2353056000,-85.7878441000,(502) 776-3013
32818,"FORD MOTOR CO CAFETERIA",2000 FERN VALLEY RD,LOUISVILLE,KY,40232,38.1547970000,-85.7252050000,(502) 366-9511
32827,"LONG RUN GOLF CLUB",1605 FLAT ROCK ROAD,LOUISVILLE,KY,40223,38.2648000000,-85.4260000000,(502) 245-9015
32829,"JOHN OBRYANS",4123 FLINTLOCK DRIVE,LOUISVILLE,KY,40216,38.1603000000,-85.8340000000,(502) 449-4940
32841,"PATRICKS LIQUOR BAR",3202 FRANKFORT AVE,LOUISVILLE,KY,40206,38.2541240000,-85.6752640000,(502) 897-9697
32553,"CAPTAIN DS #3329",3937 DIXIE HWY,LOUISVILLE,KY,40217,38.1935820000,-85.8066860000,(502) 447-4582
32564,"JERRYS RESTAURANT #1018",4832 DIXIE HWY,LOUISVILLE,KY,40216,38.1719336000,-85.8260138000,(502) 447-4610
32571,"LOGANS ROADHOUSE",5229 DIXIE HWY,LOUISVILLE,KY,40216,38.1615266000,-85.8316953000,(502) 448-0577
